isin,symbol
DE0006464506,LEI.DE
US72352L1061,PINS
DE0006636681,VQT.DE
DE000A0S8488,HHFA.DE
AU000000AVZ6,AVZ.AX
CNE1000002Q2,0386.HK
US25278X1090,FANG
FR0010220475,ALO.PA
US92532F1003,VRTX
US49456B1017,KMI
CA98421R1055,XPHY.CN
DE0007448508,IVU.DE
JP3633400001,7203.T
US91332U1016,U
DE000A1DAHH0,BNR.DE
US88339J1051,TTD
US55354G1004,MSCI
CH0010570759,LISN.SW
FR0000045072,ACA.PA
US48581R2058,KSPI.IL
US00507V1098,ATVI
US00123Q1040,AGNC
BE0974320526,UMI.BR
DE000A0B65S3,PA8.DE
DE000A0LAUP1,CE2.DE
GB00B71N6K86,False
US0937121079,BE
CA81732W1041,SVA.V
ZAE000006896,SOL.JO
IE00B4BNMY34,ACN
USY384721251,HYUD.IL
CA98462Y1007,YRI.TO
CA89485U1003,CA89485U1003.SG
US12468P1049,AI
US92936U1097,WPC
DE000A0DNAY5,ACX.DE
DE000A2NB601,JEN.DE
ES0113900J37,SAN.MC
DE000A2LQ884,AG1.DE
DE000A3E5D64,DE000A3E5D64.SG
DK0010244425,MAERSK-A.CO
US0028241000,ABT
DE000A1PHFF7,BOSS.DE
DE000A0XYG76,DR0.DE
CA1363751027,CNR.TO
KYG851581069,STNE
FR0010242511,EDF.PA
DE000A3H2200,NA9.F
NL0015000N74,SEV
US0527691069,ADSK
CA29250N1050,ENB.TO
US6802231042,ORI
US68389X1054,ORCL
GB00BG5KQW09,CWR.L
GB00B24CGK77,RKT.L
FR0000130809,GLE.PA
GB0005603997,LGEN.L
FR0000031122,AF.PA
CA4969024047,K.TO
US5502411037,LUMN
US3207031010,FLAG
US26622P1075,DOCS
GB0031215220,CCL.L
CH0011075394,ZURN.SW
US87612E1064,TGT
FR0010208488,ENGI.PA
ZAE000018123,GFI.JO
DE0005408686,VVV3.DE
GB0009895292,AZN.L
US8621211007,STOR
DE000A0LR936,ST5.DE
US8621211007,STOR
FR0000125486,DG.PA
US8725901040,TMUS
CA03169D1024,AMMP.CN
CA8787422044,TECK-B.TO
DE0007010803,RAA.DE
CNE100000338,2333.HK
CA2926717083,EFR.TO
US38141G1040,GS
DE0008618737,BPE.F
CA93267X1006,False
CA58404N1096,CA58404N1096.SG
DE000A1YC996,PU11.F
CA50202P1053,LICY
AU000000PLS0,PLS.AX
KYG8208B1014,9618.HK
CA43366H7040,False
DE000SAFH001,SFQ.DE
JP3756600007,7974.T
ES0130960018,ENG.MC
US29444U7000,EQIX
HK0992009065,0992.HK
CH0013841017,LONN.SW
CNE1000003W8,0857.HK
HK0941009539,0941.HK
DE0006580806,MUM.DE
