isin,symbol
AU000000IBG1,IBG.AX
AU000000IBX6,IBX.AX
AU000000ICG9,ICG.AX
AU000000ICN5,ICN.AX
AU000000IDA0,IDA.AX
AU000000IEC4,IEC.AX
AU000000IEL5,IEL.AX
AU000000IFL2,IFL.AX
AU000000IFM0,IFM.AX
AU000000IGE5,False
AU000000IGO4,IGO.AX
AU000000IHL8,IHL.AX
AU000000ILU1,ILU.AX
AU000000IMA1,IMA.AX
AU000000IMD5,IMD.AX
AU000000IMM6,IMM.AX
AU000000IMS3,False
AU000000IMU9,IMU.AX
AU000000INA9,INA.AX
AU000000ING6,ING.AX
AU000000IPD8,IPD.AX
AU000000IPH9,IPH.AX
AU000000IPL1,IPL.AX
AU000000IPT4,IPT.AX
AU000000IRD4,IRD.AX
AU000000IRI3,IRI.AX
AU000000ITD0,False
AU000000ITL3,IMTE
AU000000IVC8,IVC.AX
AU000000IVR6,IVR.AX
AU000000IVX4,IVX.AX
AU000000JAL1,JAL.AX
AU000000JAT4,JAT.AX
AU000000JBH7,JBH.AX
AU000000JCS2,JCS.AX
AU000000JHG6,JHG.AX
AU000000JHX1,JHX.AX
AU000000JIN0,JIN.AX
AU000000JKA3,False
AU000000JPR6,JPR.AX
AU000000JRL5,JRL.AX
AU000000JRV4,JRV.AX
AU000000K2F2,K2F.AX
AU000000KAI5,KAI.AX
AU000000KAM7,KAM.AX
AU000000KAR6,KAR.AX
AU000000KAT2,KAT.AX
AU000000KCN1,KCN.AX
AU000000KEY4,KEY.AX
AU000000KGD3,KGD.AX
AU000000KGL6,KGL.AX
AU000000KGM4,False
AU000000KGN2,KGN.AX
AU000000KLL6,KLL.AX
AU000000KNM0,KNM.AX
AU000000KOR7,KOR.AX
AU000000KP25,KP2.AX
AU000000KPG7,KPG.AX
AU000000KPO1,KPO.AX
AU000000KRM1,KRM.AX
AU000000KSN7,KSN.AX
AU000000KZA9,KZA.AX
AU000000KZR3,KZR.AX
AU000000LBL5,LBL.AX
AU000000LBT8,LBT.AX
AU000000LCA6,LIT.L
AU000000LCT6,LCT.AX
AU000000LEG9,LEG.AX
AU000000LHB3,False
AU000000LIC9,LIC.AX
AU000000LIN6,LIN.AX
AU000000LIO4,LIO.AX
AU000000LIT3,LIT.AX
AU000000LKE1,LKE.AX
AU000000LKO0,LKO.AX
AU000000LLC3,LLC.AX
AU000000LMG2,LMG.AX
AU000000LNK2,LNK.AX
AU000000LNU1,LNU.AX
AU000000LOM6,LOM.AX
AU000000LOV7,LOV.AX
AU000000LPD2,LPD.AX
AU000000LPI1,LPI.AX
AU000000LRS6,LRS.AX
AU000000LSA2,LSA.AX
AU000000LSR6,LSR.AX
AU000000LTN3,False
AU000000LTR4,LTR.AX
AU000000LVT6,LVT.AX
AU000000LYC6,LYC.AX
AU000000M7T0,M7T.AX
AU000000MAG5,MAG.AX
AU000000MAH3,MAH.AX
AU000000MAT8,MAT.AX
AU000000MAU6,MAU.AX
AU000000MAY8,MAY.AX
AU000000MBD0,False
AU000000MCE6,MCE.AX
AU000000MCM9,MCM.AX
AU000000MCP2,MCP.AX
AU000000MCR8,MCR.AX
AU000000MCT4,MCT.AX
AU000000MDC8,MDC.AX
AU000000MEA0,MEA.AX
AU000000MEB8,MEB.AX
AU000000MEI3,MEI.AX
AU000000MEM5,MEM.AX
AU000000MEU8,MEU.AX
AU000000MFD1,MFD.AX
AU000000MFG4,MFG.AX
AU000000MGR9,MGR.AX
AU000000MGV1,MGV.AX
AU000000MGX7,MGX.AX
AU000000MHC9,MHC.AX
AU000000MIM6,False
AU000000MIN4,MIN.AX
AU000000MLD9,MLD.AX
AU000000MLM0,MLM.AX
AU000000MLX7,MLX.AX
AU000000MMI6,MMI.AX
AU000000MMR7,False
AU000000MMS5,MMS.AX
AU000000MND5,MND.AX
AU000000MNS3,MNS.AX
AU000000MNY1,MNY.AX
AU000000MOB7,MOB.AX
AU000000MP15,MP1.AX
AU000000MPL3,MPL.AX
AU000000MQG1,MQG.AX
AU000000MRC8,MRC.AX
AU000000MRQ8,MRQ.AX
AU000000MSB8,MSB.AX
AU000000MTB6,MTB.AX
AU000000MTC4,MTC.AX
AU000000MTH3,MTH.AX
AU000000MTS0,MTS.AX
AU000000MVF3,MVF.AX
AU000000MVP2,MVP.AX
AU000000MX15,MX1.AX
AU000000MXC6,MXC.AX
AU000000MXR4,MXR.AX
AU000000MYE0,MYE.AX
AU000000MYL5,False
AU000000MYR2,MYR.AX
AU000000MYX0,MYX.AX
AU000000MZZ2,MZZ.AX
AU000000NAB4,NAB.AX
AU000000NAG3,NAG.AX
AU000000NAN9,NAN.AX
AU000000NCM7,NCM.AX
AU000000NCR6,NCR.AX
AU000000NCZ9,NCZ.AX
AU000000NEA8,NEA.AX
AU000000NEC4,NEC.AX
AU000000NES0,NES.AX
AU000000NEW2,NEW.AX
AU000000NGE5,NGE.AX
AU000000NGI6,NGI.AX
AU000000NGY3,NGY.AX
AU000000NHC7,NHC.AX
AU000000NHF0,NHF.AX
AU000000NML8,NML.AX
AU000000NMT1,NMT.AX
AU000000NOR1,NOR.AX
AU000000NOV3,NOV.AX
AU000000NOX9,NOX.AX
AU000000NSE0,False
AU000000NSR2,NSR.AX
AU000000NST8,NST.AX
AU000000NTD0,NTD.AX
AU000000NTU4,NTU.AX
AU000000NUF3,NUF.AX
AU000000NVA2,NVA.AX
AU000000NVX4,NVX.AX
AU000000NWE2,NWE.AX
AU000000NWH5,NWH.AX
AU000000NWS2,NWS.AX
AU000000NXM3,NXM.AX
AU000000NXT8,NXT.AX
AU000000OAR8,OAR.AX
AU000000ODM3,ODM.AX
AU000000ODY8,ODY.AX
AU000000OEC2,OEC.AX
AU000000OEL3,OEL.AX
AU000000OEX8,OEX.AX
AU000000OFX5,OFX.AX
AU000000OGC7,OGC.AX
AU000000OIL4,OIL.AX
AU000000OKJ4,OKJ.AX
AU000000OKR7,OKR.AX
AU000000OKU1,OKU.AX
AU000000OLI4,False
AU000000OML6,OML.AX
AU000000ONE9,ONE.AX
AU000000OPT2,OPT.AX
AU000000ORG5,ORG.AX
AU000000ORI1,ORI.AX
AU000000ORM3,ORM.AX
AU000000OSL3,OSL.AX
AU000000OVR4,RNX.AX
AU000000OXX8,OXX.AX
AU000000OZL8,OZL.AX
AU000000PAA1,PAA.AX
AU000000PAB9,PAB.AX
AU000000PAC7,PAC.AX
AU000000PAK0,PAK.AX
AU000000PAN4,PAN.AX
AU000000PAR5,PAR.AX
AU000000PBP7,PBP.AX
AU000000PBX1,PBX.AX
AU000000PCL4,PCL.AX
AU000000PDI8,PDI.AX
AU000000PDN8,PDN.AX
AU000000PEC9,PEC.AX
AU000000PEK2,PEK.AX
AU000000PEN6,PEN.AX
AU000000PEX5,PEX.AX
AU000000PGC4,PGC.AX
AU000000PGH3,PGH.AX
AU000000PGM3,PGM.AX
AU000000PIC0,PIC.AX
AU000000PIL1,PIL.AX
AU000000PIQ0,PIQ.AX
AU000000PLL5,PLL.AX
AU000000PLS0,PLS.AX
AU000000PME8,PME.AX
AU000000PMV2,PMV.AX
AU000000PNI7,PNI.AX
AU000000PNN7,PNN.AX
AU000000PNR8,PNR.AX
AU000000PNV0,PNV.AX
AU000000PNX6,PNX.AX
AU000000POD6,AU000000POD6.SG
AU000000POS4,POS.AX
AU000000POW6,POW.AX
AU000000PPK8,PPK.AX
AU000000PPS1,PPS.AX
AU000000PPT9,PPT.AX
AU000000PRU3,PRU.AX
AU000000PSC9,PSC.AX
AU000000PSQ9,PSQ.AX
AU000000PTB9,PTB.AX
AU000000PTL8,PTL.AX
AU000000PTM6,PTM.AX
AU000000PTX3,PTX.AX
AU000000PUR3,PUR.AX
AU000000PVE9,PVE.AX
AU000000PWH0,PWH.AX
AU000000PWN8,PWN.AX
AU000000PXS5,PXS.AX
AU000000PXX5,PXX.AX
AU000000PYC7,PYC.AX
AU000000QAN2,QAN.AX
AU000000QBE9,QBE.AX
AU000000QFY8,ZMM.AX
AU000000QRX5,False
AU000000QTL6,False
AU000000QUB5,QUB.AX
AU000000RAC3,RAC.AX
AU000000RAP5,RAP.AX
AU000000RBL2,RBL.AX
AU000000RBR9,RBR.AX
AU000000RCE5,RCE.AX
AU000000RCT3,RCT.AX
AU000000RCW7,RCW.AX
AU000000RCY3,False
AU000000RDM6,RDM.AX
AU000000RDS3,RDS.AX
AU000000REA9,REA.AX
AU000000RED3,RED.AX
AU000000REH4,REH.AX
AU000000REZ6,REZ.AX
AU000000RFF5,RFF.AX
AU000000RFG3,RFG.AX
